open;high;low;close;volume;timestamp;symbol;lastrefreshed;interval;timezone
2784.93;2787.89;2779.47;2781.70;0;2018-06-12 02:00:00;^SPX;2018-06-12 02:00:00;240min;US/Eastern
2781.45;2785.50;2778.27;2785.50;0;2018-06-12 06:00:00;^SPX;2018-06-12 06:00:00;240min;US/Eastern
2785.75;2789.82;2781.92;2786.98;0;2018-06-12 10:00:00;^SPX;2018-06-12 10:00:00;240min;US/Eastern
2786.97;2789.08;2778.31;2789.08;0;2018-06-12 14:00:00;^SPX;2018-06-12 14:00:00;240min;US/Eastern
2787.73;2790.52;2786.00;2789.29;0;2018-06-12 18:00:00;^SPX;2018-06-12 18:00:00;240min;US/Eastern
2789.54;2791.53;2787.81;2789.54;0;2018-06-12 22:00:00;^SPX;2018-06-12 22:00:00;240min;US/Eastern
2789.79;2790.29;2785.19;2786.67;0;2018-06-13 02:00:00;^SPX;2018-06-13 02:00:00;240min;US/Eastern
2786.92;2790.09;2785.93;2787.62;0;2018-06-13 06:00:00;^SPX;2018-06-13 06:00:00;240min;US/Eastern
2787.63;2791.32;2786.56;2786.59;0;2018-06-13 10:00:00;^SPX;2018-06-13 10:00:00;240min;US/Eastern
2786.35;2788.94;2774.17;2774.91;0;2018-06-13 14:00:00;^SPX;2018-06-13 14:00:00;240min;US/Eastern
2772.96;2776.92;2772.96;2776.92;0;2018-06-13 18:00:00;^SPX;2018-06-13 18:00:00;240min;US/Eastern
2777.17;2777.92;2772.49;2774.20;0;2018-06-13 22:00:00;^SPX;2018-06-13 22:00:00;240min;US/Eastern
2774.44;2774.44;2766.62;2772.58;0;2018-06-14 02:00:00;^SPX;2018-06-14 02:00:00;240min;US/Eastern
2772.83;2783.50;2771.60;2781.53;0;2018-06-14 06:00:00;^SPX;2018-06-14 06:00:00;240min;US/Eastern
2781.78;2788.68;2776.09;2780.36;0;2018-06-14 10:00:00;^SPX;2018-06-14 10:00:00;240min;US/Eastern
2780.11;2786.16;2778.27;2783.63;0;2018-06-14 14:00:00;^SPX;2018-06-14 14:00:00;240min;US/Eastern
2782.85;2782.98;2778.81;2779.06;0;2018-06-14 18:00:00;^SPX;2018-06-14 18:00:00;240min;US/Eastern
2778.81;2783.05;2778.32;2782.09;0;2018-06-14 22:00:00;^SPX;2018-06-14 22:00:00;240min;US/Eastern
2782.34;2783.13;2768.49;2771.50;0;2018-06-15 02:00:00;^SPX;2018-06-15 02:00:00;240min;US/Eastern
2771.49;2776.92;2766.97;2768.51;0;2018-06-15 06:00:00;^SPX;2018-06-15 06:00:00;240min;US/Eastern
2768.76;2774.45;2761.16;2773.17;0;2018-06-15 10:00:00;^SPX;2018-06-15 10:00:00;240min;US/Eastern
2773.42;2782.86;2769.71;2776.62;0;2018-06-15 14:00:00;^SPX;2018-06-15 14:00:00;240min;US/Eastern
2775.71;2782.42;2767.80;2769.55;0;2018-06-17 18:00:00;^SPX;2018-06-17 18:00:00;240min;US/Eastern
